First Name,Middle Name,Last Name,Suffix,DOB,SSN,Gender,DL State,DL Number,House Number,Street Address,Apartment,City,State,Zip,Zip4,Phone Number,#Phone Numbers,Address Finder,Current Address Match,Discovered Drivers,Driving Experience,Email,HSI Score,HSI Description,IID Indicator,Length Of Residency,Marital Status,Own/Rent Indicator,Parking Type,Parking Capacity,Watercraft,Number of ADD Selected subjects,ADD First Name1,ADD Last Name1,ADD First Name2,ADD Last Name2,ADD First Name3,ADD Last Name3,ADD First Name4,ADD Last Name4,ADD First Name5,ADD Last Name5, Number of CC Selected subjects,CC First Name1,CC Last Name1,CC First Name2,CC Last Name2,CC First Name3,CC Last Name3,CC First Name4,CC Last Name4,CC First Name5,CC Last Name5,Number of CC selected vehicles,Number of VIN Report selected vehicles
JAY,D,OLSEN,,1/1/1971,666191724,Male,AK,6956759,,PO BOX 165,,ANCHOR POINT,AK,99556,165,9072098740,2,X,,0,422,1,,DATA INTEGRITY (PUBLIC RECORDS,,0,S,,,0,,0,,,,,,,,,,,2,JAY,OLSEN,NICHOLAS,OLSEN,,,,,,,8,9
HERMY,H,MARTIN,,12/25/1945,666042012,Male,AK,7161383,1026B,10TH AVE,,ANCHORAGE,AK,99501,3312,9072096615,2,X,TRUE,0,723,1,5,PROBABLE PROP OWNER EVER,,722,M,N,,0,,0,,,,,,,,,,,4,HERMY,MARTIN,GEORGE,MARTIN,DEETTE,TODMATT,MICHAEL,MARTIN,,,5,5
GRANT,W,JOHNSON,,7/7/1966,666442143,Male,AK,7079076,1017,13TH AVE,,ANCHORAGE,AK,99501,4764,9072095678,5,X,TRUE,0,476,1,5,PROBABLE PROP OWNER EVER,,476,S,N,CARPORT,0,,0,,,,,,,,,,,2,GRANT,JOHNSON,MEGHAN,TWEMS,,,,,,,2,2
BRENDA,,HAMAMOTO,,12/25/1978,990503570,Female,AK,6943023,1821,ALEUTIAN ST,,ANCHORAGE,AK,99508,3223,9072299515,1,,TRUE,0,306,0,,DATA INTEGRITY (PUBLIC RECORDS,Y,6,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
GLENDING,J,SUDDUTH,,12/29/1972,666451899,Male,AK,7074723,4006,ALLAN PL,,ANCHORAGE,AK,99508,5111,9072095439,2,X,TRUE,1,399,1,5,PROBABLE PROP OWNER EVER,Y,398,S,N,GARAGE,2,,1,FRED,DAOSIZ,,,,,,,,,4,GLENDING,SUDDUTH,FRED,DAOSIZ,GLENDING,SUDDUTH,FRED,DAOSIZ,,,3,4
SETAW,,TESTCASEMIB,,4/22/1958,777195743,Male,AK,7432227,3031,AMBER BAY LOOP,,ANCHORAGE,AK,99515,2303,9072301008,0,,TRUE,0,546,0,,DATA INTEGRITY (PUBLIC RECORDS,Y,6,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
LORENE,,DAVIS,,11/16/1958,666134715,Female,AK,5944600,3541,AMBER BAY LOOP,,ANCHORAGE,AK,99515,2314,9072236805,2,X,TRUE,1,568,5,,UNKNOWN (SUBJECT FOUND PERSON ,,568,M,,GARAGE,1,,1,DAVE,DAVIS,,,,,,,,,2,LORENE,DAVIS,DAVE,DAVIS,,,,,,,2,4
CARMEN,,KELLY,,8/25/1971,666641880,Female,AK,7100112,1419,ANNAPOLIS DR,,ANCHORAGE,AK,99508,4311,9072005284,4,X,TRUE,10,415,1,5,PROBABLE PROP OWNER EVER,,414,M,N,GARAGE,1,,10,SHIRLEY,BETGA,KAREN,CRADDARD,SARAH,EGAJENDER,ROBERT,FERSIN,JOYCE,FUGGASPIE,22,CARMEN,KELLY,DAVID,XEGSAMYER,LOUETTA,XEGHDIP,ROBERT,FERSIN,DOUGLAS,MIDDUS,12,17
DORWARD,J,BENNETT,,7/9/1970,666339855,Male,AK,404430,3832,APOLLO DR,,ANCHORAGE,AK,99504,4504,9072091704,4,X,TRUE,1,428,1,,DATA INTEGRITY (PUBLIC RECORDS,,428,S,,,0,,1,JOSE,EGPEDO,,,,,,,,,2,DORWARD,BENNETT,JOSE,EGPEDO,,,,,,,4,6
DAWN,,SWOPES,,2/8/1964,666217701,Female,AK,5375120,3705,ARCTIC BLVD,2671,ANCHORAGE,AK,99503,5774,9072009589,2,X,TRUE,0,505,1,2,OWNED BY ANOTHER,,505,M,N,,0,,0,,,,,,,,,,,12,DAWN,SWOPES,WILLIAM,SWOPES,NINA,SWOPES,TIMOTHY,SWOPES,BARBARA,SWOPES,12,15
